review_id,review_text,sentiment_label,issue_label,is_multi_topic,secondary_issue,comment_type,source
1,"quần rất đẹp , vải gió thoáng mát mặc mùa này là chuẩn bài rồi. hình in đẹp, in chắc chắn giặt máy không lo bong luôn. mình mua cho bố mà bố khen mặc thoải mái với mát lắm ạ, nên mua nha",positive,material_comfort,true,product_quality,free_text_review,real_review
2,đẹp đúng với hình ảnh tốt hàng đẹp bận mác mẻ chỉ may đẹp mọi người nên mua nha ưng quá chừng mình mua nhiều lần rồi shop uy tín chất lượng 10 đồng không có nhưng. 69 v,positive,product_quality,true,seller_service,shopee_template_review,real_review
3,chất lượng sản phẩm tuyệt vời. đóng gói sản phẩm rất đẹp và chắc chắn. shop phục vụ rất tốt. rất đáng tiền. thời gian giao hàng rất nhanh,positive,product_quality,true,shipping_delivery,free_text_review,real_review
4,"đúng 3xl đen+xanh than vải dù co giản mới nhận được hàng 2 cái quần đùi rất đẹp,vải co giản nhẹ mát,đường chỉ may đẹp tỉ mỉ chắc chắn,chất liệu tốt ,có 2 túi quần bên không may dây kéo chắc chắn,sau mông cũng có túi may dây kéo,nhận được quần rất ưng ý nha,cảm ơn shop đã tư vấn nhiệt tình,shop đóng gói kĩ lưỡng,nên mua nha mọi người.",positive,product_quality,true,material_comfort,shopee_template_review,real_review
5,"đen vải thoáng mát, đường may chắc chắn. đã mua ủng hộ 2 lần, shop làm ăn uy tín, giao thiếu là giao bổ sung liền",positive,wrong_missing_item,true,material_comfort,shopee_template_review,real_review
6,"quần mặc dễ chịu, thoáng mát so với giá tiền mà chất này thì quá rẻ luôn, đánh 5 cho shop sẽ ghé lại",positive,price_value,true,material_comfort,free_text_review,real_review
7,"đúng với mô tả đen, tím than nilong giao hàng nhanh, shipper nhiệt tình, hàng như mô tả, không có chỉ thừa, quần nhẹ, chắc mặc mùa hè sẽ nóng nhưng vẫn cho shop",positive,shipping_delivery,true,color_design,shopee_template_review,real_review
8,"okhông okhông okhông hàng đẹp, vừa khít, đúng side đường may đẹp chất lượng giá bình dân giao hàng nhanh chóng cảm ơn nhiều nhiều hẹn gặp lại",positive,product_quality,true,size_fit,shopee_template_review,real_review
9,"đúng gió nhẹ đúng mô tả sản phẩm đẹp, form dáng ok, chuẩn size, đường may chắc chắn không có chỉ thừa, 3 túi đều có khoá kéo, túi may cũng chắc chắn, nên mua các bạn nhé, sẽ ủng hộ thêm",positive,product_quality,true,size_fit,shopee_template_review,real_review
10,hàng về rất ưng. đúng với mô tả mình tron ghi và đen chất vải mềm và đẹp shop đóng gói cẩn thận và giao hàng nhanh. hàng về mặc rất vừa. mình đã mua nhiều của shop lần nào về cũng ưng lần sau có áo đẹp lại mua tiếp. vừa rồi mua đôi quần rồi 5 e3y 85 ac3,positive,color_design,true,material_comfort,shopee_template_review,real_review
11,"tốt giao hàng nhanh, bao bì đóng gói ổn đã mua nhiều lần ở shop nên rất ưng ý sẽ ủng hộ tiếp nữa 5 le thi van",positive,packaging,true,product_quality,shopee_template_review,real_review
12,"đúng mát y hình nhận hàng rất ưng. 1m68, 68kg, béo bụng, shop tư vấn xl. rất vừa đẹp. vote 5 sao, nên mua nhé cả nhà. đường chỉ cẩn thận, vải chất lượng, mát, có dây rút, túi có khoá",positive,product_quality,true,size_fit,shopee_template_review,real_review
13,"thoáng mát, dễ chịu co giãn nhẹ, bền chuẩn sản phẩm nguyên vẹn. đóng gói cẩn thận. sản phẩm chất liệu tốt. mặc thoải mái, dễ chịu. không ra màu khi giặt. body fit săn sale livestream shopee style nên voucher giá quá tốt! giao hàng nhanh. hài lòng! sẽ mua lại khi săn được sale",positive,material_comfort,true,product_quality,shopee_template_review,real_review
14,đúng vải gió ghi và đen lần đầu tiên mua đồ nam trên shopee giá rẻ hơn rất nhiều so với mua ngoài shop shop giao hàng nhanh giá trên tem là 170 khi mua combo hai cái miễn phí ship chỉ có 147.000đ thật là rẻ quần xịn xò không có chỉ thừa thoáng mát mua ở shop không có giá này chồng mặc vừa vặn đúng thông số 3 dc4oaw zh1,positive,color_design,true,material_comfort,shopee_template_review,real_review
15,"đen, xám vải đúng shop đóng gói cẩn thận và giao hàng nhanh, quần chất liệu mềm mát và khá bền mkhông đã tin và sử dụng nhiều sản phẩm của shop mọi người nên mua nha",positive,material_comfort,true,color_design,shopee_template_review,real_review
16,"den ghi vừa vặn, shop giao nhanh. quần mặc thoải mái, 1 lớp, có khoá túi kéo tiện để điện thoại. dây rút buộc trong không lo dãn chun 3 d",positive,product_quality,true,size_fit,shopee_template_review,real_review
17,"mua cùng phân loại hàng mà có 2 cái là của hiệu guzado, 2 cái là mentoris. nhưng dây kéo và chất vải của mentoris tốt và mềm mịn giãn hơn. mát hơn vải có mạc guzado. đã mua lần này là lần thứ 2. lần trc cũng 4 quần mà củ guzado hết. mặc thấy okhông nên mua tiếp 4 quần nữa",positive,material_comfort,true,product_quality,free_text_review,real_review
18,"xuất sắc nhé các bác. chất liệu mỏng thoáng mát. túi quần có khoá kéo, rộng rãi vừa điện thoại. đường may, chun quần đẹp chắc chắn. màu sắc đẹp như hình. không phải cộc hẳn mà lửng lửng nhé nhìn lịch sự. chồng mình 1m76 65kg vừa in 1",positive,size_fit,true,material_comfort,free_text_review,real_review
19,"quần ok, vải gió, không co giãn, mặc chắc mát, vải này khá bền. size vừa vặn. giá cũng ổn. giao hàng nhanh, được tặng thêm 1 đôi tất chân",positive,size_fit,true,material_comfort,free_text_review,real_review
20,"mát đen+ chì đúng chất vải mát, form quần đẹp, rất xứng đáng với giá tiền. sẽ ủng hộ shop nhiều lần",positive,material_comfort,true,price_value,shopee_template_review,real_review
21,tốt vừa vặn đẹp hàng chất lượng mặc mát dễ chịu rất thoải mái lên mua vừa với giá tiền,positive,size_fit,true,product_quality,shopee_template_review,real_review
22,"good đúng màu trên ảnh nhé vải gió giãn quần chất đẹp, mát, co giãn. mặc vừa rất thích. đã mua lại lần",positive,material_comfort,true,size_fit,shopee_template_review,real_review
23,"vải mát mặc mùa hè okhông combo 2 quần màu đen cộc nam mặc thích sờ vải mát mua lần đầu, lần sau đẹp mặc okhông lại ủng hộ tiếp",positive,color_design,true,material_comfort,free_text_review,real_review
24,"mềm mát đúng xanh than chất lượng tốt, săn được giá rẻ lắm. shop tl nhiệt tình, giao hàng nhanh. đáng mua nhé. lần sau mình sẽ ủng hộ",positive,seller_service,true,material_comfort,shopee_template_review,real_review
