row_index,old_issue,new_issue,issue_reason,old_sentiment,new_sentiment,sentiment_reason,review_text,matched_patterns
0,packaging,wrong_missing_item,wrong_missing_item_priority_rule,negative,negative,clear_complaint_negative,Mùi hương: mùi trà xanh giống nước rửa chén sunlight Công dụng: sữa tắm Phù hợp với loại da: da mụn Kiện hàng gồm 7 món. Để chung vào 1 hộp mà k có bọc chống sốc. Đóng gói sơ sài . Vỏ hộp khi giao thì bị rách. Giao thiếu hàng kèm theo khi mua deal sốc là hộp tẩy da chết dove. Chai sữa tắm lifebuoy bị lỗi vòi hút. Chỉ có 1 đoạn phía trên không bơm lên được. Chat với shop thì mấy ngày mới trả lời lại. Thủ tục Trả hàng mất thời gian mất công đóng gói mang đi gửi trả nữa. nên thôi coi như xui 0:24,dong goi so sai; goi so sai; hop vo
10,packaging,packaging,packaging_priority_rule,neutral,negative,clear_complaint_negative,"Mùi hương: thơm Phù hợp với loại da: da người Công dụng: tắm:) lúc nhận được hàng thì hộp méo mó, rách(mình kh biết lỗi bên vận chuyển hay do bên đóng gói) NHƯNG hàng bên trong đóng gói vô cùng sơ sài:KHÔNG CHỐNG SỐC, SỮA TẮM ĐƯỢC TẶNG KÈM QUÀ THÌ TÁCH RỜI KH NGUYÊN VẸN, THẬM CHÍ TRÊN THÂN CHAI CÒN DÍNH CẢ KEO VÀ VẾT DƠ CỦA KEO NỮA..vậy thì liệu có phải là hàng mới không và bên nhãn hàng có thật sự tôn trọng khách hàng của mình hay đang coi thường đồng tiền mà họ bỏ ra để ủng hộ nhãn hàng vậy?",hop meo; hop vo; khong chong soc
21,packaging,wrong_missing_item,wrong_missing_item_priority_rule,negative,negative,clear_complaint_negative,"Đóng gói sơ sài, đến nơi bẹp mất chai quà tặng, không chống sốc",dong goi so sai; goi so sai; khong chong soc
29,price_value,seller_service,seller_service_priority_rule,negative,negative,clear_complaint_negative,"hãng lớn mà làm ăn vậy đó, giá thì đắc mà chất lượng vậy, chưa kể chỉ thừa nhiều, giao hàng lâu nữa, nhắn tin shop không trả lời, nói chung đừng mua phí tiền",phi tien; mua phi
33,price_value,product_quality,product_quality_priority_rule,negative,negative,clear_complaint_negative,"Chất lượng: ko xài được, mn đừng mua phí tiền Ugreen Thẻ Thông Minh Định Vị Thông Minh Chống Mất Bluetooth5.0 Finder Airtag Theo Dõi Finder Định Vị Cho iPhone / iPad / Mac 1 shaven219",phi tien; mua phi
39,price_value,seller_service,seller_service_priority_rule,neutral,negative,clear_complaint_negative,"Chất lượng sản phẩm: TỆ Nhận hàng 27/2/2025 đến hôm nay quay lại đánh giá là 23/3/2025. Chưa được 1 tháng dây đã hỏng. Sạc thì cầm cũng nặng tay. Trông thì cũng xịn mà không ăn thua. Không xứng đáng với giá tiền 1 tí nào. Cắm không vào điện nữa luôn, lúc sạc được lúc không. Trong mấy ngày đầu còn thời hạn trả hàng thì không phát sinh vấn đề. Hết ngày trả hàng là đã có hiện tượng lúc sạc được lúc không. Nhắn tin cho shop hỏi bảo hành cũng không giải quyết được. Tóm lại là KHÔNG NÊN MUA CHO PHÍ TIỀN RA 0:11 UGREEN Bộ sạc nhanh Type-C 30w 20w PD 3.0 Wall Charger USB-C Power Adapter thích hợp cho for iPhone 15/15 Mini/14 Pro/13 Pro Max/12/11/XR, Galaxy, Pixel 4/3 4 leminhhoan1968",khong xung; phi tien
40,price_value,seller_service,seller_service_priority_rule,neutral,negative,clear_complaint_negative,"Chất lượng sản phẩm: TỆ Nhận hàng 27/2/2025 đến hôm nay quay lại đánh giá là 23/3/2025. Chưa được 1 tháng dây đã hỏng. Sạc thì cầm cũng nặng tay. Trông thì cũng xịn mà không ăn thua. Không xứng đáng với giá tiền 1 tí nào. Cắm không vào điện nữa luôn, lúc sạc được lúc không. Trong mấy ngày đầu còn thời hạn trả hàng thì không phát sinh vấn đề. Hết ngày trả hàng là đã có hiện tượng lúc sạc được lúc không. Nhắn tin cho shop hỏi bảo hành cũng không giải quyết được. Tóm lại là KHÔNG NÊN MUA CHO PHÍ TIỀN RA 0:11 【MFi】Đầu chuyển đổi UGREEN USB C sang Lightning PD 20W sạc nhanh thích hợp cho iPhone 11 12 13 14/ iPad Pro Air/ Air Pod Pro 4 a*****b",khong xung; phi tien
51,price_value,product_quality,product_quality_priority_rule,negative,negative,clear_complaint_negative,Chất lượng sản phẩm: tệ Tính năng nổi bật: không hoạt động Mua phí tiền Cáp chuyển đổi cổng USB UGREEN type C sang giắc 3.5mm thích hợp cho Huawei P20 Pro Xiaomi Mi 6 8 9,phi tien; mua phi
53,packaging,wrong_missing_item,wrong_missing_item_priority_rule,negative,negative,clear_complaint_negative,"Chất lượng sản phẩm: Ok😋😋😋 Tính năng nổi bật: Ok❤️‍🔥❤️‍🔥❤️‍🔥 Đóng gói sơ sài. Không chuyên nghiệp. Trải nghiệm không được Tốt. 😒😒😒 Giao hàng thì quá lâu. Nản……..🙂‍↔️🙂‍↔️🙂‍↔️ Bộ chuyển đổi Bluetooth USB UGREEN, 6.0 Dongle cho PC, Plug & Play cho Windows 11 / 10 / 8.1, Bộ thu và phát Bluetooth cho chuột 1 1 2 56 57 58 59 60 DỊCH VỤ KHÁCH HÀNG Trung Tâm Trợ Giúp Shopee Shopee Blog Shopee Mall Hướng Dẫn Mua Hàng/Đặt Hàng Hướng Dẫn Bán Hàng Ví ShopeePay Shopee Xu Đơn Hàng Trả Hàng/Hoàn Tiền Liên Hệ Shopee Chính Sách Bảo Hành SHOPEE VIỆT NAM Về Shopee Tuyển Dụng Điều Khoản Shopee Chính Sách Bảo Mật Shopee Mall Kênh Người Bán Flash Sale Tiếp Thị Liên Kết Liên Hệ Truyền Thông THANH TOÁN ĐƠN VỊ VẬN CHUYỂN THEO DÕI SHOPEE Facebook Instagram LinkedIn TẢI ỨNG DỤNG SHOPEE © 2026 Shopee. Tất cả các quyền được bảo lưu. Quốc gia & Khu vực: Argentina Singapore Indonesia Thái Lan Malaysia Việt Nam Philippines Brazil México Đài Loan CHÍNH SÁCH BẢO MẬT QUY CHẾ HOẠT ĐỘNG CHÍNH SÁCH VẬN CHUYỂN CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN Công ty TNHH Shopee Địa chỉ: Tầng 4-5-6, Tòa nhà Capital Place, số 29 đường Liễu Giai, Phường Ngọc Hà, Thành phố Hà Nội, Việt Nam Chăm sóc khách hàng: Gọi tổng đài Shopee (miễn phí) hoặc Trò chuyện với Shopee ngay trên Trung tâm trợ giúp Chịu Trách Nhiệm Quản Lý Nội Dung: Nguyễn Bùi Anh Tuấn Mã số doanh nghiệp: 0106773786 do Sở Kế hoạch và Đầu tư TP Hà Nội cấp lần đầu ngày 10/02/2015 © 2015 - Bản quyền thuộc về Công ty TNHH Shopee 2",dong goi so sai; goi so sai
76,packaging,wrong_missing_item,wrong_missing_item_priority_rule,negative,negative,clear_complaint_negative,1. Đóng gói sơ sài. Giao hàng đến tay thì rách bươm 2. Đặt 10 gói 148K nhưng giao thiếu 1 gói . Chỉ có 9 gói. Video quay nặng quá ko up đc hết. Đánh giá cho 1* sao luôn. Cay. Lừa khách hàng 0:25,dong goi so sai; goi so sai
91,price_value,product_quality,product_quality_priority_rule,negative,negative,clear_complaint_negative,"Chất lượng: kem Dễ dán: bóc lớp số 1 sẽ bị dính miếng dán, coi như vứt luôn. Sử dụng pack dán thứ 2, dán lên có nhiều vân nhăn mờ. Không giống video hướng dẫn. Đừng mua phí tiền. Miếng dán bảo vệ màn hình UGREEN 2Pack cho Apple Watch Series 9 8 7 44mm / Series SE 6 5 4 44mm, Độ phân giải cao, Không bong bóng, Phim TPU linh hoạt trong suốt, Lắp đặt dễ dàng, cho iWatch 44 / 40mm",phi tien; mua phi
121,seller_service,wrong_missing_item,wrong_missing_item_priority_rule,negative,negative,clear_complaint_negative,"Shop giao đủ hàng nhưng sạc ko nhận với máy LG G8x Thinq. Nhắn tin cho shop thì shop không hỗ trợ, toàn nhắn tin linh tinh không giải quyết, không biết hỗ trợ khách hàng. Chắc không bao giờ dám mua shop này nữa. Mua cả 2 cái sạc mà cả 2 đều không sạc được luôn cho máy LG của mình Ugreen Uno 65W 30W RobotGaN Sạc Nhanh GaN2 Sạc Nhanh RG Bộ Chuyển Đổi Nguồn USB C Nhanh Cho iPhone 16 Pro Max iPhone 15 14 13 Pro Max Samsung S24 S23 Ultra 1 1 2 142 143 144 145 146 DỊCH VỤ KHÁCH HÀNG Trung Tâm Trợ Giúp Shopee Shopee Blog Shopee Mall Hướng Dẫn Mua Hàng/Đặt Hàng Hướng Dẫn Bán Hàng Ví ShopeePay Shopee Xu Đơn Hàng Trả Hàng/Hoàn Tiền Liên Hệ Shopee Chính Sách Bảo Hành SHOPEE VIỆT NAM Về Shopee Tuyển Dụng Điều Khoản Shopee Chính Sách Bảo Mật Shopee Mall Kênh Người Bán Flash Sale Tiếp Thị Liên Kết Liên Hệ Truyền Thông THANH TOÁN ĐƠN VỊ VẬN CHUYỂN THEO DÕI SHOPEE Facebook Instagram LinkedIn TẢI ỨNG DỤNG SHOPEE © 2026 Shopee. Tất cả các quyền được bảo lưu. Quốc gia & Khu vực: Argentina Singapore Indonesia Thái Lan Malaysia Việt Nam Philippines Brazil México Đài Loan CHÍNH SÁCH BẢO MẬT QUY CHẾ HOẠT ĐỘNG CHÍNH SÁCH VẬN CHUYỂN CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN Công ty TNHH Shopee Địa chỉ: Tầng 4-5-6, Tòa nhà Capital Place, số 29 đường Liễu Giai, Phường Ngọc Hà, Thành phố Hà Nội, Việt Nam Chăm sóc khách hàng: Gọi tổng đài Shopee (miễn phí) hoặc Trò chuyện với Shopee ngay trên Trung tâm trợ giúp Chịu Trách Nhiệm Quản Lý Nội Dung: Nguyễn Bùi Anh Tuấn Mã số doanh nghiệp: 0106773786 do Sở Kế hoạch và Đầu tư TP Hà Nội cấp lần đầu ngày 10/02/2015 © 2015 - Bản quyền thuộc về Công ty TNHH Shopee 2",khong ho tro; khong giai quyet
