review_id,review_text,sentiment_label,issue_label,is_multi_topic,secondary_issue,comment_type,source,processed_text
1,"Màu sắc: nâu Đúng với mô tả: đúng Chất liệu: xốp hàng như hình, sốp giao đúng mẫu, giao hàng nhanh, dép xốp mềm mang êm chân mà loại này mang lâu sẽ xẹp á, chân t dài 23,5 mua size này vừa chân luôn nha k rộng cũng k chật quá, giá rẻ nên mua nha",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,màu sắc nâu đúng với mô tả đúng chất liệu xốp hàng như hình sốp giao đúng mẫu giao hàng nhanh dép xốp mềm mang êm chân mà loại này mang lâu sẽ xẹp á chân t dài 23 5 mua size này vừa chân luôn nha k rộng cũng k chật quá giá rẻ nên mua nha
2,"Chất liệu: caosu Màu sắc: nâu và xám Đúng với mô tả: đúng Shop gói hàng cẩn thận,giao đúng mẫu, dép êm mềm, đi êm chân đã mua 4 đôi ạ",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,chất liệu caosu màu sắc nâu và xám đúng với mô tả đúng shop gói hàng cẩn thận giao đúng mẫu dép êm mềm đi êm chân đã mua 4 đôi ạ
3,"Đúng với mô tả: dung Màu sắc: tím xanh nâu Chất liệu: xốp dẻo Mang đi mọi người ko trơn , siêu nhẹ , rẻ , mua đi trong nhà thích lắm",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,đúng với mô tả dung màu sắc tím xanh nâu chất liệu xốp dẻo mang đi mọi người ko trơn siêu nhẹ rẻ mua đi trong nhà thích lắm
4,"Chất liệu: n Màu sắc: xam Đúng với mô tả: dung Dép màu đẹp, đi cũng êm ncl giá vậy là quá ok rồi nên mua nhé mọi người ơi",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,chất liệu n màu sắc xam đúng với mô tả dung dép màu đẹp đi cũng êm ncl giá vậy là quá ok rồi nên mua nhé mọi người ơi
5,"Chất liệu: cao su Hình ảnh mang tính chất minh họa, dép nhẹ, dễ đi, không bị trơn, mình mua được giá rẻ nên thấy ok",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,chất liệu cao su hình ảnh mang tính chất minh họa dép nhẹ dễ đi không bị trơn mình mua được giá rẻ nên thấy ok
6,"Dép này mình đặt mua ưng ý ghê ta, đúng màu mình thích, đúng size, mang thích, nhẹ êm, mình sẽ ủng hộ shop lần sau!",positive,no_issue,yes,size_fit,free_text_review,shopee_real_scraped,dép này mình đặt mua ưng ý ghê ta đúng màu mình thích đúng size mang thích nhẹ êm mình sẽ ủng hộ shop lần sau
7,"Ê dép ĐẸP nha mn, đi ÊM CHÂN lắm. Bình thường m mang size37, dép này mình đặt 38-39 mà mang VỪA VẶN luôn á. Nên mn tham khảo có mua thì lùi size nhoa",positive,no_issue,yes,damaged_defective,free_text_review,shopee_real_scraped,ê dép đẹp nha mn đi êm chân lắm bình thường m mang size37 dép này mình đặt 38 39 mà mang vừa vặn luôn á nên mn tham khảo có mua thì lùi size nhoa
8,"Độ êm: ok Chất liệu: ok Màu sắc: nau Dép đẹp, êm, nhẹ, mang trong nhà hợp lí, gia rẻ, k bị trơn khi dính nước, nước vô cũng thấm khô nhanh. Ai muốn đi thoải mái tăng 1 size là vừa",positive,no_issue,yes,size_fit,free_text_review,shopee_real_scraped,độ êm ok chất liệu ok màu sắc nau dép đẹp êm nhẹ mang trong nhà hợp lí gia rẻ k bị trơn khi dính nước nước vô cũng thấm khô nhanh ai muốn đi thoải mái tăng 1 size là vừa
9,"Độ êm: tot Chất liệu: xop Màu sắc: trang Dép như ảnh , đi êm và đẹp , đóng gói tốt , tuy mua vào tết nhưng hàng về cực kì nhanh , sau có nhu cầu sẽ ủng hộ shop thêm . Shipper thân thiện , vui vẻ , hài lòng với tất cả dịch vụ 5 ⭐️",positive,shipping_delivery,yes,packaging,free_text_review,shopee_real_scraped,độ êm tot chất liệu xop màu sắc trang dép như ảnh đi êm và đẹp đóng gói tốt tuy mua vào tết nhưng hàng về cực kì nhanh sau có nhu cầu sẽ ủng hộ shop thêm shipper thân thiện vui vẻ hài lòng với tất cả dịch vụ 5
10,"Đúng với mô tả: đúng Chất liệu: khong biết:> Màu sắc: nâu Xinh lắm mí bà, đi êm chân mà nhẹ, khong bị trơn trượt đâu, đi vô sáng da lắm luôn ó:>>",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,đúng với mô tả đúng chất liệu khong biết màu sắc nâu xinh lắm mí bà đi êm chân mà nhẹ khong bị trơn trượt đâu đi vô sáng da lắm luôn ó
11,Đúng với mô tả: đúng Màu sắc: 5 màu Chất liệu: oke mềm Dép đi mềm êm chân lắm nha xó năm màu màu nào cũng ok dc hết á nha,positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,đúng với mô tả đúng màu sắc 5 màu chất liệu oke mềm dép đi mềm êm chân lắm nha xó năm màu màu nào cũng ok dc hết á nha
12,"Màu sắc: nâu Đúng với mô tả: 👍 Chất liệu: ... Màu đẹp mang trắng chân, mang êm chân, mọi người nên mua nha, giao hàng khá nhanh shippers dthuong",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,màu sắc nâu đúng với mô tả chất liệu màu đẹp mang trắng chân mang êm chân mọi người nên mua nha giao hàng khá nhanh shippers dthuong
13,Màu sắc: đen Chất liệu: nhựa Đúng với mô tả: đúng Dép đi ấm êm thích hợp đi với cả mùa hè lẫn mùa Đông nói chung là ổn giá thành rẻ hợp lý lần sau có dịp ủng hộ shop tiếp,positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,màu sắc đen chất liệu nhựa đúng với mô tả đúng dép đi ấm êm thích hợp đi với cả mùa hè lẫn mùa đông nói chung là ổn giá thành rẻ hợp lý lần sau có dịp ủng hộ shop tiếp
14,Độ êm: tuyệt Chất liệu: tuyệt Màu sắc: tuyệt Ship nhanh chóng. Giao hàng đóng gói chắc chắn. Dép êm thích lắm. Cảm ơn shop nha. Sẽ ủng hộ thêm. Thích lắm 2 h*****a,positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,độ êm tuyệt chất liệu tuyệt màu sắc tuyệt ship nhanh chóng giao hàng đóng gói chắc chắn dép êm thích lắm cảm ơn shop nha sẽ ủng hộ thêm thích lắm 2 h a
15,"Chất liệu: xop Đúng với mô tả: dung Màu sắc: den, xam, trang Sản phẩm sử dụng ok mọi người nhé dày dặn đi rất hợp lý mùa đông ấm không cần phải mua dép bông dễ vệ sinh sử dụng hy vọng là bền và giá cả cũng rất hợp lý mọi người nên mua nhé",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,chất liệu xop đúng với mô tả dung màu sắc den xam trang sản phẩm sử dụng ok mọi người nhé dày dặn đi rất hợp lý mùa đông ấm không cần phải mua dép bông dễ vệ sinh sử dụng hy vọng là bền và giá cả cũng rất hợp lý mọi người nên mua nhé
16,Độ êm: em nhe Chất liệu: cao su Màu sắc: nau Dép nhẹ êm hình ảnh và chất lượng như quảng cáo mua được giá rẻ lại úp dc xu nên giá rất okla,positive,no_issue,yes,damaged_defective,free_text_review,shopee_real_scraped,độ êm em nhe chất liệu cao su màu sắc nau dép nhẹ êm hình ảnh và chất lượng như quảng cáo mua được giá rẻ lại úp dc xu nên giá rất okla
17,"Chất liệu: ok Màu sắc: ok Đúng với mô tả: ok Rẻ, ok, đi trong nhà, giao nhanh. Đã mua lại lần 2 Đẹp, chất lương, giá hợp lý. Đóng gói cẩn thận, giao hành nhanh. Shipper nhiệt tình thân thiện, sẽ ủng hộ thêm 1 thanhthao20_00",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,chất liệu ok màu sắc ok đúng với mô tả ok rẻ ok đi trong nhà giao nhanh đã mua lại lần 2 đẹp chất lương giá hợp lý đóng gói cẩn thận giao hành nhanh shipper nhiệt tình thân thiện sẽ ủng hộ thêm 1 thanhthao20 00
18,"Đúng với mô tả: dung Chất liệu: dep nhua dẻo Màu sắc: đen và nâu Giá hợp lý giao hàng nhanh chóng, sẽ ủng hộ thêm khi có nhu cầu, cảm ơn shop",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,đúng với mô tả dung chất liệu dep nhua dẻo màu sắc đen và nâu giá hợp lý giao hàng nhanh chóng sẽ ủng hộ thêm khi có nhu cầu cảm ơn shop
19,"Màu sắc: Nhiều màu sắc để khách chọn Đúng với mô tả: Sản phẩm đúng mô tả,dép nhẹ đi êm shop chuẩn bị hàng và ship hàng nhanh đón gói hàng cẩn thận Chất liệu: Chất liệu Eva an toàn dễ làm sạch",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,màu sắc nhiều màu sắc để khách chọn đúng với mô tả sản phẩm đúng mô tả dép nhẹ đi êm shop chuẩn bị hàng và ship hàng nhanh đón gói hàng cẩn thận chất liệu chất liệu eva an toàn dễ làm sạch
20,"Chất liệu: mềm Màu sắc: nâu Đúng với mô tả: đúng trc mình 2 đôi bên shop, đi êm mà thiết kế đơn giản nên quay lại mua 6 đôi 👍 nên mua",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,chất liệu mềm màu sắc nâu đúng với mô tả đúng trc mình 2 đôi bên shop đi êm mà thiết kế đơn giản nên quay lại mua 6 đôi nên mua
21,"Độ êm: Dép đẹp, đi êm chân, trc mua 1 đôi đi 1 năm rồi vẫn thế Chất liệu: Chất liệu mềm dẻo, đi êm Màu sắc: màu đa dạng, sang nha ace",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,độ êm dép đẹp đi êm chân trc mua 1 đôi đi 1 năm rồi vẫn thế chất liệu chất liệu mềm dẻo đi êm màu sắc màu đa dạng sang nha ace
22,Độ êm: dép nhẹ êm đi thoải mái Chất liệu: xốp mềm Shop ship giao hàng nhanh chóng đóng gói cẩn thận sẽ ủng hộ shop tiếp nếu cần,positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,độ êm dép nhẹ êm đi thoải mái chất liệu xốp mềm shop ship giao hàng nhanh chóng đóng gói cẩn thận sẽ ủng hộ shop tiếp nếu cần
23,"Độ êm: em Chất liệu: nhua deo Màu sắc: nau Shop giao hàng đúng mô tả. Chất lượng sản phẩm tốt, giá cả hợp lý. Sẽ tiếp tục ủng hộ shop khi có nhu cầu",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,độ êm em chất liệu nhua deo màu sắc nau shop giao hàng đúng mô tả chất lượng sản phẩm tốt giá cả hợp lý sẽ tiếp tục ủng hộ shop khi có nhu cầu
