row_index,old_sentiment,new_sentiment,reason,review_text,cleaned_review,issue
3,positive,neutral,neutral_or_mild_mixed,"Đúng với mô tả: đúng 3XL Màu sắc: đen+xanh than Chất liệu: vải dù co giản Mới nhận được hàng 2 cái quần đùi rất đẹp,vải co giản nhẹ mát,đường chỉ may đẹp tỉ mỉ chắc chắn,chất liệu tốt ,có 2 túi quần bên hông may dây kéo chắc chắn,sau mông cũng có túi may dây kéo,nhận được quần rất ưng ý nha,cảm ơn shop đã tư vấn nhiệt tình,shop đóng gói kĩ lưỡng,nên mua nha mọi người. 0:40 15 phuongthaophamtu",đúng với mô tả đúng 3xl màu sắc đen xanh than chất liệu vải dù co giản mới nhận duoc hàng 2 cái quần đùi rất đẹp vải co giản nhẹ mát đường chỉ may đẹp tỉ mỉ chắc chắn chất liệu tốt có 2 túi quần bên khong may dây kéo chắc chắn sau mông cũng có túi may dây kéo nhận duoc quần rất ưng ý nha cảm ơn shop đã tư vấn nhiệt tình shop đóng gói kĩ lưỡng nên mua nha moi nguoi 0 40 15 phuongthaophamtu,no_issue
30,neutral,positive,received_enough_or_matches_description,"Màu sắc: đen, ghi Đúng với mô tả: đúng size tư vấn Chất liệu: 92% polyester 8% spandex Cao m72, nặng 68kg shop tư vấn sz XL, khuyeen moij ng mua rộng hơn xíu cho thoải mái. Chất vải phù hợp với giá tiền, 0:40 1 t*****3",màu sắc đen ghi đúng với mô tả đúng size tư vấn chất liệu 92 polyester 8 spandex cao m72 nặng 68kg shop tư vấn sz xl khuyeen moij ng mua rộng hơn xíu cho thoải mái chất vải phù hợp với giá tiền 0 40 1 t 3,no_issue
76,positive,neutral,neutral_or_mild_mixed,"Chất lượng sản phẩm: Khăn rất dày dặn nha Đúng với mô tả: Đúng như trên hình Đóng góp an toàn, giao nhanh lắm ạ, mình săn giá siu hời🤭 Mọi người nên mua nha 0:10 25 miencattrangcr2002",chất lượng san pham khăn rất dày dặn nha đúng với mô tả đúng như trên hình đóng góp an toàn giao nhanh lắm ạ mình săn giá siu hời moi nguoi nên mua nha 0 10 25 miencattrangcr2002,no_issue
84,positive,neutral,neutral_or_mild_mixed,"Đúng với mô tả: đúng Chất lượng sản phẩm: tốt Lần đầu mua khăn của shop, dày dặn màu xinh áp mã còn có 2k thôi, hài lòng sẽ quay lại mua tiếp 👍🏻👍🏻👍🏻 0:06 9 yeumaiminhanhthoi",đúng với mô tả đúng chất lượng san pham tốt lần đầu mua khăn của shop dày dặn màu xinh áp mã còn có 2k thôi hài lòng sẽ quay lại mua tiếp 0 06 9 yeumaiminhanhthoi,no_issue
90,neutral,positive,received_enough_or_matches_description,Đúng với mô tả: đúng Chất lượng sản phẩm: tốt Có vẻ thấm hút rất tốt. Mình sẽ đem đi giặt 1 lần rồi dùng thử xem sao. Đáng tiền nha. 0:10 10 z3bsmvoi9t,đúng với mô tả đúng chất lượng san pham tốt có vẻ thấm hút rất tốt mình sẽ đem đi giặt 1 lần rồi dùng thử xem sao đáng tiền nha 0 10 10 z3bsmvoi9t,no_issue
93,positive,neutral,neutral_or_mild_mixed,Khăn đẹp giao đúng mẫu và màu săn sale đc với giá rất rẻ shop đóng gói khá chỉnh chu có kèm theo tờ hướng dẫn 0:14 18 a73yds5sx8,khăn đẹp giao đúng mẫu và màu săn sale duoc với giá rất rẻ shop đóng gói khá chỉnh chu có kèm theo tờ hướng dẫn 0 14 18 a73yds5sx8,no_issue
98,positive,neutral,neutral_or_mild_mixed,Chất lượng sản phẩm: tốt Đúng với mô tả: đúng i hình Khăn 50/100 vải dày dặn.dai 1m.be lâu thoải mái nha.ship hàng nhanh.dong goi kĩ Kang xho shop 5 sao. Thấy đẹp minh có đặt thêm 2cai nữa 0:10 3 minhlytrantruong,chất lượng san pham tốt đúng với mô tả đúng i hình khăn 50 100 vải dày dặn dai 1m be lâu thoải mái nha ship hàng nhanh dong goi kĩ kang xho shop 5 sao thấy đẹp minh có đặt thêm 2cai nữa 0 10 3 minhlytrantruong,no_issue
105,positive,neutral,neutral_or_mild_mixed,"Sale rẻ nên mua mn nhé,hàng tạm được.thấm hút ổn.nói chung là chấp nhận được chưa phải là hàng chất lượng mà đòi hỏi cao quá. 0:11 3 daongocdvatvy",sale rẻ nên mua moi nguoi nhé hàng tạm duoc thấm hút ổn nói chung là chấp nhận duoc chua phải là hàng chất lượng mà đòi hỏi cao quá 0 11 3 daongocdvatvy,no_issue
122,positive,neutral,neutral_or_mild_mixed,"Chất lượng sản phẩm: tốt Đúng với mô tả: đúng Shop giao hàng nhanh. Gói hàng cẩn thận. Khăn mặt cotton, dày dặn, thấm hút tốt, dùng thích, đúng tiêu chí nhà mình. Kiểu phải khăn nhanh mục, lâu khô, thấm hút tốt. Lại săn giá rẻ, mua liền mấy bịch. Rất ổn 0:07",chất lượng san pham tốt đúng với mô tả đúng shop giao hàng nhanh gói hàng cẩn thận khăn mặt cotton dày dặn thấm hút tốt dùng thích đúng tiêu chí nhà mình kiểu phải khăn nhanh mục lâu khô thấm hút tốt lại săn giá rẻ mua liền mấy bịch rất ổn 0 07,no_issue
130,positive,neutral,neutral_or_mild_mixed,"Đúng với mô tả: khá đúng Chất lượng sản phẩm: vừa phải Với chất liệu này thì giá này cũng k phải gọi là rẻ dù mình đã săn sales shoppe, so với khăn tắm chất liệu đẹp hơn mình mua ở chợ có 80k mà giá ở đây cũng vậy. Tranh thủ mua sales để về dùng dần cho cả gia đình. Các bạn mua có thể cân nhắc nhé 0:08 1 truong0908831626",đúng với mô tả khá đúng chất lượng san pham vừa phải với chất liệu này thì giá này cũng khong phải gọi là rẻ dù mình đã săn sales shoppe so với khăn tắm chất liệu đẹp hơn mình mua ở chợ có 80k mà giá ở đây cũng vậy tranh thủ mua sales để về dùng dần cho cả gia đình các bạn mua có thể cân nhắc nhé 0 08 1 truong0908831626,no_issue
