row_index,old_sentiment,new_sentiment,reason,review_text,cleaned_review,issue
105,positive,neutral,clear_neutral,"Sale rẻ nên mua mn nhé,hàng tạm được.thấm hút ổn.nói chung là chấp nhận được chưa phải là hàng chất lượng mà đòi hỏi cao quá. 0:11 3 daongocdvatvy",sale rẻ nên mua moi nguoi nhé hàng tạm duoc thấm hút ổn nói chung là chấp nhận duoc chua phải là hàng chất lượng mà đòi hỏi cao quá 0 11 3 daongocdvatvy,no_issue
168,positive,neutral,clear_neutral,"Giá rẻ mà chất lượng cũng được, mặc dù k quá dày dặn Nhìn lượt bán khủng nên mua thử Đóng gói cẩn thận và chỉn chu 0:12",giá rẻ mà chất lượng cũng duoc mặc dù khong quá dày dặn nhìn lượt bán khủng nên mua thử đóng gói cẩn thận và chỉn chu 0 12,no_issue
237,positive,neutral,clear_neutral,"Hàng đẹp chất lượng phù hợp với giá tiền , nói chung là tạm ổn sẽ ủng hộ thêm nhiều 0:32",hàng đẹp chất lượng phù hợp với giá tiền nói chung là tạm ổn sẽ ủng hộ thêm nhiều 0 32,no_issue
245,negative,neutral,clear_neutral,"Mua hàng 4/4 và đợi đúng 5-6 ngày mới nhận được, lâu quá. Mà trên app hẹn giao hàng ngày 7-4 mà không thấy đâu. 0:27",mua hàng 4 4 và đợi đúng 5 6 ngày mới nhận duoc lâu quá mà trên app hẹn giao hàng ngày 7 4 mà khong thấy đâu 0 27,shipping_delivery
303,neutral,negative,clear_negative,"Sau 5 ngày sử dụng mình xin được đánh giá lại: 1- kết nối khá nhanh. 2- có thể nghe 1 tai và 1 tai sạc thoải mái giúp nghe đc nhiều thời gian hơn. 3- cảm nhận cá nhân nghe khá nhỏ mình nghe mức 70-80% 4- sạc đầy tai màu trắng, pin yếu màu đỏ như ảnh. 0:10 4 p*****3",sau 5 ngày sử dụng mình xin duoc đánh giá lại 1 kết nối khá nhanh 2 có thể nghe 1 tai và 1 tai sạc thoải mái giúp nghe duoc nhiều thời gian hơn 3 cảm nhận cá nhân nghe khá nhỏ mình nghe mức 70 80 4 sạc đầy tai màu trắng pin yếu màu đỏ như ảnh 0 10 4 p 3,no_issue
308,negative,neutral,clear_neutral,"Ưu điểm: nhỏ nhắn xinh xắn, màu ngọt như hình. Kết nối nhạy, xài pin lâu Nhược điểm: âm thanh nhỏ dù bật maximum, âm thanh ko đc trong, ko đc êmm. Dùng đc cỡ tgian bị vấn đề kết nối ko nhạy. Khó khăn trong việc kết nối Kết luận: Tạm được 0:04 1 p*****6",ưu điểm nhỏ nhắn xinh xắn màu ngọt như hình kết nối nhạy xài pin lâu nhược điểm âm thanh nhỏ dù bật maximum âm thanh khong duoc trong khong duoc êmm dùng duoc cỡ tgian bị vấn đề kết nối khong nhạy khó khăn trong việc kết nối kết luận tạm duoc 0 04 1 p 6,product_quality
323,neutral,negative,clear_negative,Chất lượng sản phẩm: tẠm ổn thui Tính năng nổi bật: màu đẹp Mình test thử r nói thật hơi khó xài- việc tắt bật tai nghe vẫn bất tiện mn ạ- nhiều khi tai nghe tự kết nối vs dt r tự hao pin- mình sạc tai nghe mà vô điện ko đều- 1 bên tai thì full điện- 1 bên còn lại lúc nào cũng pin yếu- rồi á nhiều khi tai nghe tiếng bị rè ko rõ- chất lượng ko ổn định mn ạ 0:50 1 mikayuukio,chất lượng san pham tạm ổn thui tính năng nổi bật màu đẹp mình test thử r nói thật hơi khó xài việc tắt bật tai nghe vẫn bất tiện moi nguoi ạ nhiều khi tai nghe tự kết nối vs dt r tự hao pin mình sạc tai nghe mà vô điện khong đều 1 bên tai thì full điện 1 bên còn lại lúc nào cũng pin yếu rồi á nhiều khi tai nghe tiếng bị rè khong rõ chất lượng khong ổn định moi nguoi ạ 0 50 1 mikayuukio,product_quality
334,negative,neutral,clear_neutral,"Chất lượng sản phẩm: Bình thường Hộp sạc quá yếu, xài rất sợ bị gãy :(((. Pin thì không quá trâu đâu thấy nó bình thường à, nếu 1 ngày bạn xài 2,3 tiếng thì OK còn người hay đi du lịch mà vừa đi vừa nghe nhạc thì nên đem theo xạc dự phòng or dây sạc. - Âm thanh dành cho bạn nào không quá kén chất âm, mà chỉ để đeo nghe tiếng thôi cũng được 🙂. Không biết mấy bạn sao chứ mình sạc full xài trong 3 ngày là sạc rồi đó là mình ở nhà ko đi chơi đó nghen. Còn đi chơi thì đeo 1 ngày là hết pin trong ngày luôn 😁 Tai nghe chỉ dành để nghe được thôi. Nó chỉ ở mức trung bình còn muốn để nghe nhạc hay thì nên mua Air pod hoặc tai nghe của LG để nghe những bản nhạc sâu lắng. 0:39 3 thunina2607",chất lượng san pham binh thuong hộp sạc quá yếu xài rất sợ bị gãy pin thì khong quá trâu đâu thấy nó binh thuong à nếu 1 ngày bạn xài 2 3 tiếng thì ok còn người hay đi du lịch mà vừa đi vừa nghe nhạc thì nên đem theo xạc dự phòng or dây sạc âm thanh dành cho bạn nào khong quá kén chất âm mà chỉ để đeo nghe tiếng thôi cũng duoc khong biết mấy bạn sao chứ mình sạc full xài trong 3 ngày là sạc rồi đó là mình ở nhà khong đi chơi đó nghen còn đi chơi thì đeo 1 ngày là hết pin trong ngày luôn tai nghe chỉ dành để nghe duoc thôi nó chỉ ở mức trung bình còn muốn để nghe nhạc hay thì nên mua air pod hoặc tai nghe của lg để nghe những bản nhạc sâu lắng 0 39 3 thunina2607,product_quality
344,negative,neutral,clear_neutral,"Chất lượng sản phẩm: bình thường Màu xinh, âm thanh nghe bình thường, ko có độ bass. 0:09",chất lượng san pham binh thuong màu xinh âm thanh nghe binh thuong khong có độ bass 0 09,no_issue
357,negative,neutral,clear_neutral,Tai nghe mới đầu nghe rất to nhưng tự nhiện lại rất bé mình phải cho hết cỡ âm lượng mới nghe được Mọi người cân nhắc trước khi mua Hộp Tai nghe nhỏ xinh k to Đầu nút bé mình đeo thấy k đau tai Nhạc nghe êm Thời gian nghe cần xạc pin chưa thử vì tai nghe vừa mới về 1:00,tai nghe mới đầu nghe rất to nhưng tự nhiện lại rất bé mình phải cho hết cỡ âm lượng mới nghe duoc moi nguoi cân nhắc trước khi mua hộp tai nghe nhỏ xinh khong to đầu nút bé mình đeo thấy khong đau tai nhạc nghe êm thời gian nghe cần xạc pin chua thử vì tai nghe vừa mới về 1 00,product_quality
