page,review_text,cleaned_review,sentiment,issue
1,"Quần rất đẹp , vải gió thoáng mát mặc mùa này là chuẩn bài rồi. Hình in đẹp, in chắc chắn giặt máy kh lo bong luôn. Mình mua cho bố mà bố khen mặc thoải mái với mát lắm ạ, nên mua nha 😊 0:28 197 binhlove69k1",quần rất đẹp vải gió thoáng mát mặc mùa này là chuẩn bài rồi hình in đẹp in chắc chắn giặt máy khong lo bong luôn mình mua cho bố mà bố khen mặc thoải mái với mát lắm ạ nên mua nha,positive,no_issue
1,Màu sắc: Đẹp Đúng với mô tả: đúng với hình ảnh Chất liệu: tốt Hàng đẹp bận mác mẻ chỉ may đẹp mọi người nên mua nha ưng quá chừng mình mua nhiều lần rồi shoop uy tín chất lượng 10₫ ko có nhưng. 0:19 69 v*****8,màu sắc đẹp đúng với mô tả đúng với hình ảnh chất liệu tốt hàng đẹp bận mác mẻ chỉ may đẹp mọi người nên mua nha ưng quá chừng mình mua nhiều lần rồi shoop uy tín chất lượng 10 khong có nhưng,positive,no_issue
1,Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắn. Shop phục vụ rất tốt. Rất đáng tiền. Thời gian giao hàng rất nhanh 61 quynhtruong4,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh 61 quynhtruong4,positive,no_issue
1,"Đúng với mô tả: đúng 3XL Màu sắc: đen+xanh than Chất liệu: vải dù co giản Mới nhận được hàng 2 cái quần đùi rất đẹp,vải co giản nhẹ mát,đường chỉ may đẹp tỉ mỉ chắc chắn,chất liệu tốt ,có 2 túi quần bên hông may dây kéo chắc chắn,sau mông cũng có túi may dây kéo,nhận được quần rất ưng ý nha,cảm ơn shop đã tư vấn nhiệt tình,shop đóng gói kĩ lưỡng,nên mua nha mọi người. 0:40 15 phuongthaophamtu",đúng với mô tả đúng 3xl màu sắc đen xanh than chất liệu vải dù co giản mới nhận duoc hàng 2 cái quần đùi rất đẹp vải co giản nhẹ mát đường chỉ may đẹp tỉ mỉ chắc chắn chất liệu tốt có 2 túi quần bên hông may dây kéo chắc chắn sau mông cũng có túi may dây kéo nhận duoc quần rất ưng ý nha cảm ơn shop đã tư vấn nhiệt tình shop đóng gói kĩ lưỡng nên mua nha mọi người,positive,no_issue
1,"Màu sắc: đen Vải thoáng mát, đường may chắc chắn. Đã mua ủng hộ 2 lần, shop làm ăn uy tín, giao thiếu là giao bổ sung liền 0:20 15 x67bw4dih7",màu sắc đen vải thoáng mát đường may chắc chắn đã mua ủng hộ 2 lần shop làm ăn uy tín giao thiếu là giao bổ sung liền,positive,wrong_missing_item
1,"quần mặc dễ chịu, thoáng mát so với giá tiền mà chất này thì quá rẻ luôn, đánh 5* cho shop sẽ ghé lại 🥰 0:18 12 1 2 3 4 5 Mã giảm giá của Shop Giảm 5k₫ Đơn Tối Thiểu 399k₫ Sắp hết hạn: Còn 6 giờ Lưu Top Sản Phẩm Nổi Bật Combo 2 quần đùi nam thể thao Guzado Cạp Chun,Vải Gió Thoáng Mát Vận Động Thoải Mái CB2GSR01 176.900 ₫ Bộ Quần Áo Nam GUZADO Thun Lạnh Cao Cấp, Set Chơi Pickleball, Tập Gym Co Giãn, Thoáng Khí GBP01 424.000 ₫ Áo Polo Nam GUZADO Cổ Bẻ Coolmax Thể Thao Co Giãn, Thấm Hút Cực Tốt Kiểu Dáng Basic PL01 209.000 ₫ [TẶNG TẤT] Áo Thun Thể Thao Nam GUZADO Coolmax Cao Cấp, Thấm Hút Mồ Hôi Tốt, Co Giãn Linh Hoạt GTS 159.000 ₫ [TẶNG TẤT]Áo Polo Nam Cao Cấp GUZADO Vải Cá Sấu Cotton Thoáng Khí, Sang Trọng Lịch Lãm, Dễ Phối Đồ GPL02 269.000 ₫ [TẶNG TẤT] Set 3 Quần Lót Tam Giác Nam GUZADO Vải Cotton Cao Cấp 2 Lớp Kháng Khuẩn,Co Giãn 4 Chiều GBF(CHE TÊN) 199.000 ₫ SET 3 Sịp Boxer Cotton Nam GUZADO 2 Lớp Kháng Khuẩn, Co Giãn, Thấm Hút Tốt, 4 Màu Basic GBX 158.900 ₫ Bộ Thể Thao Nam GUZADO Vải Coolmax Cao Cấp, Mềm Mát da, Co Giãn Tốt Tập Gym Mặc Nhà Thoải Mái GBT 309.000 ₫ DỊCH VỤ KHÁCH HÀNG Trung Tâm Trợ Giúp Shopee Shopee Blog Shopee Mall Hướng Dẫn Mua Hàng/Đặt Hàng Hướng Dẫn Bán Hàng Ví ShopeePay Shopee Xu Đơn Hàng Trả Hàng/Hoàn Tiền Liên Hệ Shopee Chính Sách Bảo Hành SHOPEE VIỆT NAM Về Shopee Tuyển Dụng Điều Khoản Shopee Chính Sách Bảo Mật Shopee Mall Kênh Người Bán Flash Sale Tiếp Thị Liên Kết Liên Hệ Truyền Thông THANH TOÁN ĐƠN VỊ VẬN CHUYỂN THEO DÕI SHOPEE Facebook Instagram LinkedIn TẢI ỨNG DỤNG SHOPEE © 2026 Shopee. Tất cả các quyền được bảo lưu. Quốc gia & Khu vực: Argentina Singapore Indonesia Thái Lan Malaysia Việt Nam Philippines Brazil México Đài Loan CHÍNH SÁCH BẢO MẬT QUY CHẾ HOẠT ĐỘNG CHÍNH SÁCH VẬN CHUYỂN CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN Công ty TNHH Shopee Địa chỉ: Tầng 4-5-6, Tòa nhà Capital Place, số 29 đường Liễu Giai, Phường Ngọc Hà, Thành phố Hà Nội, Việt Nam Chăm sóc khách hàng: Gọi tổng đài Shopee (miễn phí) hoặc Trò chuyện với Shopee ngay trên Trung tâm trợ giúp Chịu Trách Nhiệm Quản Lý Nội Dung: Nguyễn Bùi Anh Tuấn Mã số doanh nghiệp: 0106773786 do Sở Kế hoạch và Đầu tư TP Hà Nội cấp lần đầu ngày 10/02/2015 © 2015 - Bản quyền thuộc về Công ty TNHH Shopee 2",quần mặc dễ chịu thoáng mát so với giá tiền mà chất này thì quá rẻ luôn đánh 5 sao cho shop sẽ ghé lại,positive,no_issue
2,"Đúng với mô tả: đúng với mô tả Màu sắc: đen, tím than Chất liệu: nilong Giao hàng nhanh, shipped nhiệt tình, hàng như mô tả, ko có chỉ thừa, quần nhẹ, chắc mặc mùa hè sẽ nóng nhưng vẫn cho shop 5⭐️ 0:19 9 8xbm85ibs2",đúng với mô tả đúng với mô tả màu sắc đen tím than chất liệu nilong giao hàng nhanh shipped nhiệt tình hàng như mô tả khong có chỉ thừa quần nhẹ chắc mặc mùa hè sẽ nóng nhưng vẫn cho shop 5,neutral,no_issue
2,"Đúng với mô tả: ok Màu sắc: ok Chất liệu: ok Hàng đẹp, vừa khít, đúng side đường may đẹp chất lượng giá bình dân giao hàng nhanh chóng Cảm ơn nhiều nhiều hẹn gặp lại 0:05 9 thuyhyhy2610",đúng với mô tả ok màu sắc ok chất liệu ok hàng đẹp vừa khít đúng side đường may đẹp chất lượng giá bình dân giao hàng nhanh chóng cảm ơn nhiều nhiều hẹn gặp lại,positive,no_issue
2,"Đúng với mô tả: đúng Chất liệu: gió nhẹ Màu sắc: đúng mô tả Sản phẩm đẹp, form dáng ok, chuẩn size, đường may chắc chắn k có chỉ thừa, 3 túi đều có khoá kéo, túi may cũng chắc chắn, nên mua các bạn nhé, sẽ ủng hộ thêm 0:36 9 trinhvannhat10071987",đúng với mô tả đúng chất liệu gió nhẹ màu sắc đúng mô tả sản phẩm đẹp form dáng ok chuẩn size đường may chắc chắn khong có chỉ thừa 3 túi đều có khoá kéo túi may cũng chắc chắn nên mua các bạn nhé sẽ ủng hộ thêm,positive,no_issue
2,Đúng với mô tả: hàng về rất ưng. đúng với mô tả Màu sắc: mình tron ghi và đen Chất liệu: chất vải mềm và đẹp Shop đóng gói cẩn thận và giao hàng nhanh. Hàng về mặc rất vừa. Mình đã mua nhiều của shop lần nào về cũng ưng lần sau có áo đẹp lại mua tiếp. Vừa rùi mua đôi quần rùi 0:13 5 e3y_85_ac3,đúng với mô tả hàng về rất ưng đúng với mô tả màu sắc mình tron ghi và đen chất liệu chất vải mềm và đẹp shop đóng gói cẩn thận và giao hàng nhanh hàng về mặc rất vừa mình đã mua nhiều của shop lần nào về cũng ưng lần sau có áo đẹp lại mua tiếp vừa rùi mua đôi quần rùi,positive,no_issue
