page,issue_candidate,score,matched_patterns,review_text
1,packaging,1,"hop vo","Phù hợp với loại da: mọi loại da Công dụng: giảm mụn lưng Mùi hương: matcha khổ qua Chê rất chê luôn ạ. Mua ở ngoài gần 200k mắc hơn trên sàn vài chục nhưng tắm rất thơm mùi match khổ qua. Còn chai này mùi nhạt kinh khủng mà còn giống như bị pha thêm xà bông rửa chén vô vậy á nó có mùi chanh giống trong nước rửa chén. Tệ kinh khủng. Tin tưởng lắm luôn vì mua ở unilever shopee mall mà bị vậy. Ko bao giờ quay trở lại. Mn đừng ham rẻ mà mua trên sàn tốt nhất là đi siêu thị mua mắc chút mà chất lượng nha. Của rẻ là của ôi. QUÁ TỆ LUÔN👎 0:19 24 h*****2"
1,packaging,1,"hop vo","Phù hợp với loại da: on Mùi hương: thom Công dụng: thon Shop giao lại cạo mất hạn sử dụng, mất uy tín. Chai 800g mở ra xem thì sữa tắm chỉ được hơn 1 nữa chai. Mình thích mùi này nhất, dễ chịu. Giao hàng nhanh. 0:07"
1,packaging,1,"hop vo","Công dụng: chuwa bt Mùi hương: thơm Phù hợp với loại da: ok Đóng gói kiểu j đây ạ?????? Mở tunh nắp, cầm vào nhầy nhụa 0:10"
1,packaging,1,"hop vo","Phù hợp với loại da: Mọi loại da Mùi hương: Thơm mùi sen dễ chịu Công dụng: Sạch khuẩn Shoppe Mall mà làm việc không trung thực. Không hài lòng sản phẩm giao là mẫu cũ, sản xuất đã hơn 1 năm (15/05/2023). Quà tặng không đúng mẫu như ảnh đăng bán là sữa tắm thảo dược hoa sen và cũng là mẫu sản xuất cũng hơn 1 năm (7/5/2023). Shop khuyến mãi mà không ghi rõ ràng vậy mọi người dễ nhầm tưởng mẫu mới lắm nhé. Mọi người chú ý. 0:16 10 1 2 3 4 5 CÁC SẢN PHẨM KHÁC CỦA SHOP Xem Tất Cả Sữa tắm Lifebuoy Thiên nhiên Detox Và Chăm Sóc Chuyên Sâu 800g 202.000 ₫ 4.9 100k+ đã bán Nước rửa tay sạch khuẩn Lifebuoy Túi 400G 59.000 ₫ 4.9 100k+ đã bán Nước Rửa Tay Lifebuoy Bảo Vệ Khỏi 99.9% Vi Khuẩn Gây Bệnh Hỗ Trợ Cùng Đề Kháng Da Tự Nhiên 450G 77.000 ₫ 4.9 100k+ đã bán [LIVE] Sữa Tắm Lifebuoy 800gr Detox Và Sạch Sâu Khỏi Bụi Mịn Pm2.5 Detox 100% Từ Thiên Nhiên Diệt Khuẩn 210.600 ₫ 4.9 10k+ đã bán Sữa Tắm Lifebuoy Sạch Khuẩn Bảo Vệ Khỏi 99.9% Vi Khuẩn, Hỗ Trợ Cùng Đề Kháng Da Tự Nhiên 800G 180.000 ₫ 4.9 40k+ đã bán Lăn ngăn mùi hương nước hoa cao cấp AXE 45ml, công nghệ hóa mồ hôi thành mùi hương thơm mát 72h 70.000 ₫ 4.9 5k+ đã bán Lăn ngăn mùi dưỡng sáng cao cấp Dove tinh chất serum dành cho nữ với 3% Niacinamide 45ml 75.000 ₫ 4.9 200k+ đã bán Sữa Tắm Lifebuoy Sạch Khuẩn Bảo Vệ Khỏi 99.9% Vi Khuẩn Chứa Ion Bạc+ Hỗ Trợ Cùng Đề Kháng Da Tự Nhiên 800G 167.000 ₫ 4.9 100k+ đã bán Nước Rửa Tay Lifebuoy Vitamin+ Combo 2 chai 450g/chai 155.000 ₫ 4.9 20k+ đã bán Combo 2 Túi Nước Rửa Tay Lifebuoy Vitamin+ 1kg/túi 267.000 ₫ 4.9 20k+ đã bán Combo 3 Kem đánh răng P/S Trắng Răng Lành Tính - 100% Công Thức Được Kiểm Chứng 147.000 ₫ 4.9 20k+ đã bán Sữa Tắm Lifebuoy Bảo Vệ Khỏi Vi Khuẩn Gây Bệnh Với Ion Bạc+ Hỗ Trợ Đề Kháng Da Tự Nhiên 1000G 196.000 ₫ 4.9 60k+ đã bán [LIVE] Sữa Tắm Lifebuoy 800gr Detox Và Sạch Sâu Khỏi Bụi Mịn Pm2.5 Detox 100% Từ Thiên Nhiên Diệt Khuẩn 214.500 ₫ 4.9 100k+ đã bán Xịt nước hoa nam toàn thân AXE 135ml, lưu hương và khử mùi lên đến 48h 94.000 ₫ 4.9 100k+ đã bán Kem đánh răng P/S Thảo Dược 100g/150g, cho 10 lợi ích toàn diện, như giảm ê buốt, trắng răng, hơi thở thơm mát 50.000 ₫ 4.9 9k+ đã bán Sữa tắm dưỡng thể thiên nhiên trắng sáng da Hazeline 1kg 139.000 ₫ 4.9 100k+ đã bán Xịt thơm nước hoa cao cấp AXE 135ml, Fine Fragrance mist lưu hương tinh tế và khử mùi lên tới 72h 127.000 ₫ 4.9 30k+ đã bán [DEAL SỐC] Xịt thơm nước hoa cao cấp AXE 135ml, Fine Fragrance mist lưu hương tinh tế và khử mùi lên tới 72h 116.000 ₫ 4.9 10k+ đã bán Bộ 3 Kem Đánh Răng Closeup Diamond Attraction - Trắng răng sau 1 lần chải 100g 99.000 ₫ 4.7 100k+ đã bán [CHÍNH HÃNG ĐỘC QUYỀN] Smoothie Tẩy Tế Bào Chết Body Dove Chăm Da Sáng Mịn 298g/280g 168.000 ₫ 4.9 800k+ đã bán Combo 2 Sữa tắm Lifebuoy Thiên nhiên Detox Và Chăm Sóc Chuyên Sâu 270g Nhỏ Gọn, Tiện Dụng 134.000 ₫ 4.8 8k+ đã bán [LIVE] Combo 3 Kem Đánh Răng Closeup Trắng Răng Thơm Mát thành phần Thiên Nhiên 230G 164.949 ₫ 4.9 2k+ đã bán Kem đánh răng P/S Chuyên Gia Chăm Sóc Nướu - Sạch khe nướu, ngừa vấn đề răng miệng phổ biến 76.600 ₫ 4.9 10k+ đã bán Kem đánh răng Closeup White Now - Trắng Bật Tông 3X TỨC THÌ với Công nghệ Ánh Sáng Xanh 100g 66.000 ₫ 4.9 30k+ đã bán Mã giảm giá của Shop Giảm 4% Đơn Tối Thiểu 159k₫ Giảm tối đa 8k₫ Sản phẩm nhất định Đã dùng 80%, HSD: 31.05.2026 Lưu 5 DỊCH VỤ KHÁCH HÀNG Trung Tâm Trợ Giúp Shopee Shopee Blog Shopee Mall Hướng Dẫn Mua Hàng/Đặt Hàng Hướng Dẫn Bán Hàng Ví ShopeePay Shopee Xu Đơn Hàng Trả Hàng/Hoàn Tiền Liên Hệ Shopee Chính Sách Bảo Hành SHOPEE VIỆT NAM Về Shopee Tuyển Dụng Điều Khoản Shopee Chính Sách Bảo Mật Shopee Mall Kênh Người Bán Flash Sale Tiếp Thị Liên Kết Liên Hệ Truyền Thông THANH TOÁN ĐƠN VỊ VẬN CHUYỂN THEO DÕI SHOPEE Facebook Instagram LinkedIn TẢI ỨNG DỤNG SHOPEE © 2026 Shopee. Tất cả các quyền được bảo lưu. Quốc gia & Khu vực: Argentina Singapore Indonesia Thái Lan Malaysia Việt Nam Philippines Brazil México Đài Loan CHÍNH SÁCH BẢO MẬT QUY CHẾ HOẠT ĐỘNG CHÍNH SÁCH VẬN CHUYỂN CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN Công ty TNHH Shopee Địa chỉ: Tầng 4-5-6, Tòa nhà Capital Place, số 29 đường Liễu Giai, Phường Ngọc Hà, Thành phố Hà Nội, Việt Nam Chăm sóc khách hàng: Gọi tổng đài Shopee (miễn phí) hoặc Trò chuyện với Shopee ngay trên Trung tâm trợ giúp Chịu Trách Nhiệm Quản Lý Nội Dung: Nguyễn Bùi Anh Tuấn Mã số doanh nghiệp: 0106773786 do Sở Kế hoạch và Đầu tư TP Hà Nội cấp lần đầu ngày 10/02/2015 © 2015 - Bản quyền thuộc về Công ty TNHH Shopee 2"
2,packaging,1,"hop vo","Công dụng: làm sạch da Mùi hương: matcha Phù hợp với loại da: mọi loại da Hơi sạch khô kin kít, thơm, đỡ mụn lưng Dung lượng hơi….😬 11 bon_boys"
2,packaging,3,"dong goi so sai; goi so sai; hop vo","Công dụng: mịn da Mùi hương: thơm Phù hợp với loại da: mọi loại da Đóng gói sơ sài không hài lòng chút nào dù là shopee mall 0:06"
2,packaging,1,"hop vo","Phù hợp với loại da: Moi loai da Công dụng: làm sạch Mùi hương: nhẹ M mua khá nhiều đồ của shop nhưng mà chai sữa tắm này thì khá thất vọng . M mua 2 chai thì 1 chai vẫn ổn còn 1 chai bị hỏng vòi không có lò xo bên trong (như hình) nên không thể xịt được. M có nhắn shop và shop có bảo đổi trả nhưng m thấy khá phiền nên không đổi nữa. Giao hàng nhanh 1* 0:27 2 d*****d"
3,seller_service,1,"khong tra loi","Mùi hương: mùi hắc Vào shopmall mua mà như mua phải hàng giả nha. Mình so với sp mua ở siêu thị thấy khác hoàn toàn từ chai đựng sp, hạn sd ghi mờ nhòe, hàng chữ trên chai thấy cũng mờ, hỏi bên khâu cskh thì không trả lời được, hỏi trên trang Facebook Life buoy mãi không nhận được phản hồi. Bạn nào có ý định mua thì nên xem xét lại. Tôi mua phải hàng giả rồi. 1:00 34 v*****t"
4,packaging,1,"hop vo","Công dụng: tắm Mùi hương: thơm Phù hợp với loại da: mọi loại da Thiếu quà tặng kèm🙃 0:07 3 imissyousoso"
4,packaging,2,"dong goi so sai; goi so sai","Nếu có 0 sao mình sẽ cho 0 sao. Mua rồi đọc đánh giá 1 sao mới biết trường hợp sản phẩm đóng gói sơ sài và có dấu hiệu rút ra bớt trước khi giao đi. Làm ăn vậy chắc bền. Rút gần nửa chai chai tặng kèm cũng vậy. Vì thấy chữ Shopee Mall nên tin tưởng 😅 ai dè lầm. Mọi người cảnh giác. Này không khác lừa đảo luôn chủ shop xứng đáng xuống 18 tầng địa ngục 😏 0:15"
