page,issue_candidate,score,matched_patterns,review_text
3,seller_service,1,"khong tra loi","CHẤT LƯỢNG CỰC KÌ TỆ, cắm sạc từ trưa tới tối không vào, nhắn shop thì không trả lời :), KHÔNG NÊN MUA, tốn tiền mà nhắn shop còn không trả lời. 0:12 17 qwerrtyuuii"
4,seller_service,1,"khong phan hoi","Chất lượng sản phẩm: không tốt Tính năng nổi bật: không Tai nghe mình vừa xài được 2 lần thì sạc không ăn nữa và cũng không kết nối được nữa dù mình đã sạc rất lâu. Shop không phản hồi tin nhắn."
7,seller_service,1,"khong tra loi","Chất lượng sản phẩm: Kém chất lượng Tính năng nổi bật: mình nhận dc sản phẩm thì mình sạc pin thì ko vô mình nt cho shop hỏi mà shop không trả lời cho minh 0:15 7 t*****2"
8,seller_service,1,"khong ho tro","Sản phẩm lỗi không thể sử dụng Nhắn tin cho shop xử lí nhưng shop không hỗ trợ"
9,seller_service,2,"khong tra loi; thai do","Thái độ shop rất chi là bực. KH nhận hàng ibox hỏi tư vấn để xử lý HDSD cho khách nhưng liên tục 3 ngày chỉ cài reply tự động. Online cũng ko rep khách. - sạc 6xx mua sạc dự phòng sạc L1 từ 80 để qua đêm ko lên thêm. Sạc lần 2 từ 21 sạc 3h vẫn ko tăng thêm. Ibox nhiều lần hỏi shop hdsd, ko đòi hỏi j mà ko thèm trả lời. - Tai nghe ko kết nối bluetooth dc. Ibox Shop Ko tư vấn. Ko trả lời."
9,seller_service,1,"khong tra loi","Chất lượng sản phẩm: Hang loi ko bao hanh Tính năng nổi bật: không nhận sạc Hỏng sau khi mua được 1 tuần, sạc không nhận tai, không sạc được. Nhắn tin shop không trả lời, shop quốc tế không support. 1 m*****i"
9,price_value,1,"khong dang tien","Tai nghe nhanh nóng, hay bị lỗi kết nối, nhanh hết pin, không được tí giá trị nào, không đáng tiền tí nào, sử dụng như tai nghe 10k vậy 14 khakjd"
12,seller_service,1,"khong tra loi","Chất lượng sản phẩm: Chất lượng tốt hợp giá tiền Tính năng nổi bật: Nghe, gọn, nhẹ Mới sử dụng 1 tuần là hư mà nhắn shop lại không trả lời"
14,seller_service,1,"khong ho tro","Tai nghe bị lỗi không nghe được một bên, liên hệ shop nhiều lần nhưng không hỗ trợ, sản phẩm rất kém chất lượng, không biết những người khác như nào nhưng riêng tôi rất thất vọng. Lần đầu cũng như lần cuối mua ở shop. 0:29"
14,price_value,2,"phi tien; gia cao","Chất lượng ko tốt nhe mọi người ko nên mua , âm thanh quá bé , phí tiền, giá cao mà chất lượng ko cao 1 teamii27"
14,price_value,1,"khong xung","Chất lượng sản phẩm: Ko xứng Tính năng nổi bật: nghe ổn vs nhạc chill (nhẹ) nhưng nhanh hết pin cực - 2 bên tai nghe đều cùng % pin nhưng khi sd 1 bên nhanh hết 1 bên còn pin, chán tht. - nắp lỏng lẻo thua tai nghe rẻ hơn nx cơ ( sợ quẹt nhẹ chắc cái nắp bung bật ngửa r ) - chất âm nhỏ , nghe mấy bản bass thì tiết lắm lun ai có ý định mua để nghe nghiêng về nhạc mạnh thì con này tệ - Chỉ cần rớt 1 lần là xđ e nó vx sẽ nghe đc nhưng ko lâu dài nhanh hư. ---->> Nhanh tàn thấy hơi phí vs loại này sd chưa đc nhiu lâu nó hư tiếng lun . Pin ko trâu như trên tiktok rv . Sầu :((((((("
15,seller_service,1,"khong ho tro","Hàng lỗi mk k kết nối đc nma liên hệ shop k hỗ trợ ạ, hic hàng lỗi mk sạc đầy đủ và mọi cách đều k kết nối được, không quay lại ạ, sản phẩm tệ 0:05"
16,seller_service,1,"khong tra loi","Mình mua sản phẩm về không nhưng lỗi mà liên hệ bên bán còn không được giải quyết họ đưa ra hướng giải quyết sẽ gửi mình 1 voucher giảm giá để mua lại nhưng sau khi mình huỷ yêu cầu đổi hàng họ không trả lời tin nhắn nữa. Hàng lỗi vừa khó chịu lại trễ nãi trong việc hỗ trợ khách hàng. 3 gaus.su"
17,seller_service,1,"khong tra loi","chưa gì đã hư chán thật sự nhắn tin cũng k trả lời hư mất 1 bên tai nghe sale toàn hàng lỗi"
19,price_value,1,"phi tien","Chất lượng sản phẩm: kHông chấp nhận được Tính năng nổi bật: chả có Không kết nối được kể cả khi đã tháo lớp bọc màu xanh ra. Kết nối được 1’p là tắt ngủm. Bảo trả hàng 7 ngày mà không cho trả? Không thể chấp nhận được. Quá phí tiền không nên mua. Shopee cũng không làm ăn được. Bảo trả hàng không cho trả 3 chanieshin"
19,seller_service,2,"khong tra loi; khong giai quyet","Sản phẩm lỗi nhưng liên lạc cskh không giải quyết, không trả lời. 产品有缺陷但联系客服未解决或回复。 The product is defective but contacting customer service did not resolve or respond."
